2021-12-23 21:17:47,704 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 21:17:49,190 - [main] INFO       | com.clientui.clientui.controller.HistoryController           |  ----> Launch Post validateNewPatHistory  with PatientId = 2 (HistoryController.java:86)
2021-12-23 21:17:49,234 - [main] INFO       | com.clientui.clientui.controller.HistoryController           |  ----> Launch Put updatePatientHistory  with PatientId = 2 (HistoryController.java:135)
2021-12-23 21:17:49,245 - [main] INFO       | com.clientui.clientui.controller.HistoryController           |  ----> Launch /pathistory/delete/id - note id: 2 - - 3 (HistoryController.java:162)
2021-12-23 21:17:49,650 - [main] INFO       | com.clientui.clientui.controller.HistoryController           |  ----> Launch Get /patHistory/update/{id} with id=2 (HistoryController.java:112)
2021-12-23 21:19:39,790 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 21:19:42,475 - [main] INFO       | com.clientui.clientui.controller.PatientController           |  ----> Launch /report/list  (AssessmentController.java:33)
2021-12-23 21:19:42,853 - [main] INFO       | com.clientui.clientui.controller.PatientController           |  ----> Launch /patReport/{id} with id: 2 (AssessmentController.java:49)
2021-12-23 21:19:43,455 - [main] INFO       | com.clientui.clientui.controller.HistoryController           |  ----> Launch Post validateNewPatHistory  with PatientId = 2 (HistoryController.java:86)
2021-12-23 21:19:43,472 - [main] INFO       | com.clientui.clientui.controller.HistoryController           |  ----> Launch Put updatePatientHistory  with PatientId = 2 (HistoryController.java:135)
2021-12-23 21:19:43,480 - [main] INFO       | com.clientui.clientui.controller.HistoryController           |  ----> Launch /pathistory/delete/id - note id: 2 - - 3 (HistoryController.java:162)
2021-12-23 21:19:43,556 - [main] INFO       | com.clientui.clientui.controller.HistoryController           |  ----> Launch Get /patHistory/update/{id} with id=2 (HistoryController.java:112)
